Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Portable decoction of (Kashaya) Making Machine,Hardware,DK732,66,MedTech / BioTech / HealthTech
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Virtual reality based solution for training medical students,Software,DK733,24,MedTech / BioTech / HealthTech
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Centralized thesis repository (MD/PHD) Repository,Software,DK734,14,Smart Education
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",App for Ayush Services Availability,Software,DK735,64,MedTech / BioTech / HealthTech
"Ministry of Ayurveda, Yoga, Naturopathy, Unani, Siddha, Sowa-Rigpa and Homoeopathy (AYUSH).",Smart Watch with vital record and lifestyle recommendation with mobile application,Hardware,DK736,50,MedTech / BioTech / HealthTech
Coal India Limited,Development of VR / AR (Virtual Reality / Augmented Reality) based application to train and up-skill the workforce involved in safely executing high risk tasks and problem solving key operational challenges in Coal mining industry.,Software,NC737,19,Miscellaneous
Coal India Limited,"Work clothing that has sensors embedded in it to securely transmit data to managers about hazardous conditions and the workers’ physical conditions, improving safety overall",Hardware,NC738,125,Smart Automation
Coal India Limited,Prototype of a Solar Powered IOT Device with the ability to connect to a smart network to be used in Geo Tagging of Physical Assets Created under CSR,Hardware,NC739,17,Transportation & Logistics
Coal India Limited,Moving vehicle registration plate detection,Software,NC740,114,Transportation & Logistics
Coal India Limited,A system of IoT devices to measure load weight in a dumper,Software,NC741,32,Transportation & Logistics
Ministry of Consumer Affairs,Smart Buffer Stock Solution,Hardware,VM742,40,"Agriculture, FoodTech & Rural Development"
Ministry of Culture,Virtual Visit to Indian pilgrimages,Software,GM743,73,Heritage & Culture
Ministry of Culture,AR App showcasing Turbans of India,Software,GM744,21,Heritage & Culture
Ministry of Culture,OCR and Fastest Scanning Device and Application,Hardware,GM745,24,Smart Automation
Ministry of Culture,Indoor Navigation for Museums,Software,GM746,48,Heritage & Culture
Ministry of Culture,Hologram with Speech Synthesis,Software,GM747,20,Heritage & Culture
Ministry of Culture,Augmented Reality Classroom Programme,Software,GM748,30,Heritage & Culture
Ministry of Culture,Digital Reconstruction of Monuments,Software,GM749,16,Heritage & Culture
Ministry of Culture,Ticketless Entry System to Monuments/Museums,Software,GM750,125,Heritage & Culture
Ministry of Culture,3D Planetarium Software,Software,GM751,14,Heritage & Culture
Ministry of Culture,AR App for Monuments,Software,GM752,32,Heritage & Culture
Ministry of Culture,Virtual Excavation Game,Software,GM753,22,Heritage & Culture
Ministry of Culture,E-commerce for Artisans,Software,GM754,125,Heritage & Culture
"Ministry of Social Justice and Empowerment, Composite Regional Centre (CRC Srinagar), Department of Empowerment of Persons with Disabilities.",Tracing IP address and details of unidentified participants while academic sessions.,Software,RK755,52,Blockchain & Cybersecurity
"Ministry of Social Justice and Empowerment, Composite Regional Centre (CRC Srinagar), Department of Empowerment of Persons with Disabilities.",Tracing IP Address behind VPN/Proxy Servers,Software,RK756,31,Blockchain & Cybersecurity
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Accessing visual information (written information) by persons with visual disability.,Software,RK757,21,Smart Education
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Enabling communication strategies for persons with hearing impairment.,Software,RK758,22,Smart Education
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Enabling alternative accessible strategies for persons with speech impairment.,Software,RK759,37,Smart Education
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Development of easy operating systems for persons with locomotor disability.,Hardware,RK760,51,Smart Automation
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",DEVELOPMENT & IMPLEMENTATION OF AN INTEGRATED WEB-BASED OFFICE DOCUMENT MANAGEMENT SYSTEM,Software,RK761,44,Smart Automation
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",DEVELOPMENT OF A WEB-BASED PLATFORM & MOBILE APP FOR STORING & SHARING INFORMATION ABOUT ACCESSIBLE BUILDINGS/ OFFICES/ PUBLIC PLACES/ BUS STOPS/ RAILWAYS/ MARKETPLACE SCHOOLS ETC.,Software,RK762,49,Smart Automation
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Difficulties in correspondence of sighted person with a admin/teacher,Software,RK763,10,Smart Education
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Difficulties to understand the concept in Math & Science for visual impaired person.,Software,RK764,14,Smart Education
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Comprehensive tools to edit the pdf and convert into epub format.,Software,RK765,16,Smart Education
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",IoT based solution for recording and storing metrics of normal and orthotic leg for analysis by Orthotist.,Hardware,RK766,33,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Using depth sensors or computer vision in prosthetic lower extremity exoskeleton appliance to alert or adjust gait.,Hardware,RK767,18,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",App for registration of Persons with Disabilities under ADIP scheme,Software,RK768,37,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Designing an app for screening the possible mental health issues in adolescents and PwDs.,Software,RK769,55,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Smart knee actuator cushion using pressure sensitive material,Hardware,RK770,16,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",A simplified app for assessment of reading and writing difficulties in persons with Specific Learning Disabilities.,Software,RK771,22,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Fall Detection and Alerts in hearing aids for deaf and hearing impairment,Software,RK772,17,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Difficulties in walking with white cane in surrounding environments.,Software,RK773,37,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Software for Vocational Training for persons with visual impairment,Software,RK774,14,Smart Education
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Software for facilitation of various Govt. schemes for persons with disabilities.,Software,RK775,32,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Development of ADIP-CI Post-operative rehabilitation details software.,Software,RK776,5,Miscellaneous
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment",Development of Software for AAC for persons with different disabilities,Hardware,RK777,34,MedTech / BioTech / HealthTech
"Department of Empowerment of Persons with Disabilities(Divyangjan) , Ministry of Social Justice and Empowerment","Making Interactive Interface and adding functionality in the existing application of ADIP Cochlear Implant Program application by Ministry of Social Justice and Empowerment, GoI.",Software,RK778,6,MedTech / BioTech / HealthTech
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Tracking the impact of PM POSHAN on a child’s nutritional status and physical health and well-being,Software,RK779,48,Fitness & Sports
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Tracking the achievement of Learning Outcomes in Foundational Years,Software,RK780,10,Miscellaneous
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Real-time identification of Out of School Children with the help of an AI-based intervention that crawls through the various data sets of multiple departments to check if any children are not in school.,Software,RK781,9,Miscellaneous
"Department of School Education & Literacy (DoSEL), Ministry of Education.","Development of a happiness index for schools (including mental health and well-being parameters, among others) with self-assessment facilities.",Software,RK782,48,"Agriculture, FoodTech & Rural Development"
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Crowd Sourcing model for preparing large question banks.,Software,RK783,51,Miscellaneous
"Department of School Education & Literacy (DoSEL), Ministry of Education.",App for government asset management,Software,RK784,47,"Agriculture, FoodTech & Rural Development"
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Solution to prevent copy right infringement/piracy/plagiarism of NCERT text books.,Software,RK785,9,Miscellaneous
"Department of School Education & Literacy (DoSEL), Ministry of Education.","Monitoring safety in schools by the school, students, teachers and parents, with escalation of issues to District and state level with the help of an App masking the identity of person who escalates the issue",Software,RK786,9,Miscellaneous
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Making career choices and AI based counselling accessible to every child at secondary level along with aptitude tests and detailed career paths,Software,RK788,45,Miscellaneous
"Department of School Education & Literacy (DoSEL), Ministry of Education.","An App or progress card to guide parents to facilitate and ensure holistic growth in cognitive, psychomotor and affective domains.",Software,RK789,16,Miscellaneous
"Department of School Education & Literacy (DoSEL), Ministry of Education.",Access to Education - education delivery for specially-abled students Innovations in improving the delivery of education to students with special needs to improve the learning outcome,Software,RK790,14,Miscellaneous
"Department of School Education & Literacy (DoSEL), Ministry of Education.","Mental health and well-being surveillance, assessment and tracking solution among children",Software,RK791,30,Miscellaneous
Gas Authority of India Ltd (GAIL).,AI-enhanced OT security tool,Software,SK792,6,MedTech / BioTech / HealthTech
Gas Authority of India Ltd (GAIL).,Forecasting Natural Gas International Prices using advanced Time-Series Techniques,Software,SK793,23,Heritage & Culture
Gas Authority of India Ltd (GAIL).,Develop a Smart Attendance Capturing Mobile App,Software,SK794,125,Blockchain & Cybersecurity
Indian Council for Cultural Relations (ICCR).,Digital infrastructure and a robust and smart Document Management System (DMS),Software,RK795,8,Smart Automation
Indian Council for Cultural Relations (ICCR).,Online Monitoring and Evaluation System for ICCR’s Regional Offices (ROs)?,Software,RK796,7,Smart Automation
Indian Council for Cultural Relations (ICCR).,Online Monitoring and Evaluation System for ICCR’s Indian Cultural Centers (ICC) abroad?,Software,RK797,7,Smart Automation
"Central Ground Water Board (CGWB), Ministry of Jal Shakti",Standalone Desktop application for pumping test data analysis,Software,BV798,4,Smart Automation
"National Water Mission (NWM), Ministry of Jal Shakti",Use of Digital Technology in addressing Non-Revenue Water (NRW),Software,BV799,10,Smart Automation
"National Mission for Clean Ganga (NMCG), Ministry of Jal Shakti",Artificial intelligence enabled robotic trash boat to drive & harvest floating trash from urban drain-,Hardware,BV800,40,Disaster Management
"Central Water Commission (CWC), Ministry of Jal Shakti",Two-way mobile communication (G2C and C2G) for dissemination of flood forecasts to end users and collection of real time data of inundation area through crowd sourcing,Software,RK1111,6,Disaster Management
Ministry of Housing and Urban Affairs,Suggest a solution to predict the local impact of urban flooding in major cities.,Software,BV802,8,Miscellaneous
Ministry of Housing and Urban Affairs,Suggest a solution to help the ULBs/State/UT Governments to monitor or control the growth of slums in the country and develop a self-sustained environment to ensure affordable housing in order to avoid growth of slums in future.,Software,BV803,23,"Agriculture, FoodTech & Rural Development"
Ministry of Housing and Urban Affairs,Municipal Finances and Tax Management System.,Software,BV804,5,Miscellaneous
Ministry of Housing and Urban Affairs,Suggest a solution to help municipal bodies maximize solid waste collection with their given resources.,Software,BV805,63,Clean & Green Technology
Ministry of Housing and Urban Affairs,Suggest a redefined solution to help cities locate EV(Electric Vehicles) charging infrastructure.,Software,BV806,101,Smart Vehicles
Ministry of Housing and Urban Affairs,Suggest an innovative technical approach to address the air pollution and stubble burning in Delhi/NCR.,Hardware,BV807,58,Disaster Management
Ministry of Housing and Urban Affairs,Suggest an improvised way of tackling the issue of creating a consistent supply chain to augment the use of Bio fuels.,Software,BV808,6,Clean & Green Technology
Ministry of Housing and Urban Affairs,Suggest a solution to ensure that the demand for public transport resonates with the stretched peak hours to ensure uniform demand during these hours.,Hardware,BV809,37,Transportation & Logistics
Ministry of Housing and Urban Affairs,Suggest an effective way for tackling the issue of improper disposal of personal COVID protection equipment which leads to an additional strain on the city authorities who were already grappling with single use plastic menace.,Hardware,BV810,37,MedTech / BioTech / HealthTech
Ministry of Housing and Urban Affairs,Suggest an innovative approach to serve the educational needs of the weaker section of the society during this challenging situation of COVID-19.,Software,BV811,13,Miscellaneous
Ministry of Housing and Urban Affairs,Suggest effective solutions that would attract commuters to use Public Transport in large scale during this Pandemic situation.,Software,BV812,26,Transportation & Logistics
Ministry of Housing and Urban Affairs,An unique solution that would help to include informal vendors in the public space development without compromising on the Urban Design.,Software,BV813,18,"Agriculture, FoodTech & Rural Development"
Ministry of Housing and Urban Affairs,Suggest an effective way for mitigating the problem of conserving and re-using the rain water and reduce water demand at source.,Hardware,BV814,37,Disaster Management
Ministry of Housing and Urban Affairs,Suggest an innovative approach for redeveloping the centralized sewage treatment plants and help the city managers to better adopt decentralized approaches and ensure water resources through reuse.,Hardware,BV815,16,Disaster Management
Ministry of Housing and Urban Affairs,Suggest an effective solution that would help the city managers to overcome the problem oof sewerage blockage.,Software,BV816,8,Disaster Management
"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).",Subset Wizard along with Data Format Conversion Utility,Software,GR817,2,Miscellaneous
"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).",Real Time Satellite Imagery dissemination app,Software,GR818,6,Disaster Management
"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).",Data Format Conversion Utility,Software,GR819,3,Miscellaneous
"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).",HORIZONTAL WIND CALCULATION FOR A VERTICAL COLUMN OF A VLOUME SCAN OF RADAR,Software,GR820,2,Miscellaneous
"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).",Bias correction of NWP model temperature forecasts for cities using ANN/ML/DL,Software,GR821,5,Disaster Management
"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).",Consensus of hourly visibility forecast for airports using NWP model and observations,Software,GR822,4,Disaster Management
"India Meteorological Department (IMD), Ministry of Earth Sciences (MoES).",Non-residential built-up extraction using AI techniques,Software,GR823,6,Miscellaneous
"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).",Identification of regions prone to boat overturning,Software,NK824,6,Disaster Management
"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).",Prediction of drifted personnel or asset,Software,NK825,3,Disaster Management
"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).",Automated Identification of Fish Species (AutoFiS),Software,NK826,66,"Agriculture, FoodTech & Rural Development"
"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).",Prediction of Oil Spills Events at Sea (POSEatSea),Software,NK827,11,Disaster Management
"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).",Cost of Air Pollution to Solar Power Generation (CAPsolar),Software,NK828,19,Renewable / Sustainable Energy
"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).",Fishing boat Activity Clustering and Timeline Studying (FACTS),Software,NK829,6,"Agriculture, FoodTech & Rural Development"
"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).",Flagging of (AIS) INactivity Data (FIND),Software,NK830,2,Disaster Management
"Indian National Centre for Ocean Information Services (INCOIS), Ministry of Earth Sciences (MoES).",Automated Animal Identification and Detection of Species (AAIDeS),Software,NK831,27,"Agriculture, FoodTech & Rural Development"
Ministry of Electronics and Information Technology (MEITY).,Smart Document Capture Platform,Software,PK832,25,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Conversational Demographics Data Update System,Software,PK833,6,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Digital Payment Solution.,Software,PK834,12,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Aadhaar Data Vault,Software,PK835,9,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Mobile Operator Booking Platform.,Software,PK836,31,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Document Quality Score,Software,PK837,15,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Innovative Resident Application.,Software,PK838,7,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Aadhaar Kiosk,Software,PK839,8,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Resident Consent Framework.,Software,PK840,6,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Push notification for Address change.,Software,PK841,11,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Preparing AI ready datasets.,Software,PK842,8,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Indian Plagiarism tool,Software,PK843,9,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Terms and Condition Checking Tool,Software,PK844,12,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Career guidance System,Software,PK845,29,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Finding Impact of Online Games,Software,PK846,12,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Voice based delivery of academic records,Software,PK847,10,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Recommendation System for Future Skills,Software,PK848,13,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Assessment of Tele-Education(Online Content which teaches an individual),Software,PK849,6,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Unique Student Identity and student profile system,Software,PK850,33,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Offline Portal For Direct Benefit Transfer of Scholarship,Software,PK851,8,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Online knowledge Assesment,Software,PK852,5,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Handwriting Assessment,Software,PK853,10,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,"Identifying the Dyslexia, Dyscalculia, Dysgraphia, Dyspraxia, Autism or ADHD in school going children.",Software,PK854,36,MedTech / BioTech / HealthTech
Ministry of Electronics and Information Technology (MEITY).,Cyber Hygiene for Students,Software,PK855,15,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Controlling Screen time for Children,Software,PK856,25,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Digital Grammer Teacher,Software,PK857,10,Miscellaneous
Ministry of Electronics and Information Technology (MEITY).,Automated Notes Maker from Audio Reccordings,Software,PK858,51,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Virtual Laboratory for Science subjects at school level,Hardware,PK859,18,Smart Automation
Ministry of Electronics and Information Technology (MEITY).,Sustainable and No Contact Attendance system,Hardware,PK860,125,Smart Automation
Ministry of Mines,Recycling App,Software,SS861,25,Clean & Green Technology
International Council for Circular Economy (ICCE).,Tracking of supply chain and reverse logistics of products to reduce environmental impact,Software,SG862,7,Clean & Green Technology
International Council for Circular Economy (ICCE).,Solution to establish a zero waste society with proper waste disposal management,Software,SG863,50,Clean & Green Technology
International Council for Circular Economy (ICCE).,"Tracking, reducing and reusing of plastic waste",Software,SG864,45,Clean & Green Technology
International Council for Circular Economy (ICCE).,Industrial wastewater treatment,Software,SG865,18,Disaster Management
International Council for Circular Economy (ICCE).,Using food waste as consumable organic resource,Software,SG866,34,Clean & Green Technology
International Council for Circular Economy (ICCE).,Tracking of food waste for productive usage,Software,SG867,40,Clean & Green Technology
Ministry of Mines,Grade-wise iron-ore accounting from mines to end-points to prevent loss of revenue to the state,Software,SS868,3,Miscellaneous
Ministry of Mines,"""Interpretation of geological, geochemical, and geophysical dataset using ML/AI to carve out new mineral potential areas.""",Software,SS869,5,Miscellaneous
Government of Maharashtra.,"How to use Aadhaar number of students to identify fake enrolment, duplication and authentication of students.",Software,OS870,55,Smart Education
Government of Maharashtra.,Attendance systems for students of government aided schools.,Software,OS871,125,Smart Education
Government of Maharashtra.,Real time tracking of students learning’s outcomes and their academic progress across schools.,Software,OS872,68,Smart Education
Government of Maharashtra.,"Teachers (From Recruitment, posting to entire duration of their service as teachers) Management System",Software,OS873,51,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,"""There is a need to create an engaging, supportive alumni network which is crucial to an institutions /organizations success. Currently, there is no mechanism for the Directorate to keep a track of the trainees passing out year by year.""",Software,DB874,47,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,Development of a One Stop Platform for budding entrepreneurs for Overall Support:,Software,DB875,38,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,AI Based Platform for Students,Software,DB876,20,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,AI Based platform for start-up validation and support,Software,DB878,11,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,AI BASED PLATFORM for entrepreneurs for decision making process,Software,DB879,9,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,Artificial Intelligence Based mobile application for the workers and website based admin tool for management.,Software,DB880,32,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,National Entrepreneurship Internship Exchange,Software,DB881,8,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,PWD (Divyang) user friendly Entrepreneurship Support & Facilitation Ecosystem,Software,DB882,8,Smart Automation
