Organization,Problem Statement Title,Problem Statement Description,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
"Department of Space, Indian Space Research Organisation (ISRO).",Multispectral satellite image dehazing,"Given a multispectral image, dehazing tries to improve interpret-ability in the image regions affected by the presence of haze during acquisition. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS594,19,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Android application for the imaging possibilities by an Earth observing satellite,"To find the possibility of imaging a particular object/place (lat-long) on Earth by an Earth observing satellite with given sensor specifications, orbit, attitude definitions. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS595,9,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Water Quality from Mobile captured and Google earth images,"Color of the water is result of solar radiation interaction with water constituents and its concentration. The changing watercolor is direct indicator of changing water parameters and its suitability of usage. Measurement of water leaving radiance in visible region and its transformation to hue angle do provide necessary water parameters. Development of App for measurement of Water Quality using smartphone. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS596,53,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",Flood inundation probability mapping,"Development of image processing-based approach to estimate flood inundation probability by utilizing multiple satellite images form microwave and optical sensors. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS597,24,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",Natural Language search tool for Web GIS,"To design and develop a Natural language-based search system for searching about attribute/information about datasets/features in a web GIS using open source tools and libraries. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS598,6,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Producing Super Resolution Digital Elevation Models from low resolution DEMs,"DEMs could be produced from different sources. Satellite stereoscopy has its own advantages over other techniques. However, there are certain theoretical limitations in producing DEMs from a certain resolution stereo data. Here the idea is to train a machine with some super resolution DEM samples and use the model for generating super resolution elsewhere. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS600,5,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Software toolset for storage browsing and permission based access to geospatial data using blockchain,"Ever-growing geospatial data requires secure and scalable storage for archiving data. Block chain-based technologies can offer strong byzantine fault tolerance and distributed data storage and access. However currently there are no mature options for storing and organizing large geospatial datasets on a distributed blockchain. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS604,38,Blockchain & Cybersecurity
"Department of Space, Indian Space Research Organisation (ISRO).",Fully automated seamless on-the-fly mosaicking of satellite images,"Background: High resolution imaging satellites have limited swath and images from adjacent passes are stitched together, However, theme images may have different illumination and atmospheric conditions leading to a visible differences at the border of images. The goal of this problem statement is to develop a fully automated algorithm to automatically stitch adjacent ( multiple ) satellite images without human intervention to create a seamless mosaic. The algorithm needs to be fast enough for on-the-fly stitching for web based visualization. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS607,7,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Visual Question and Answering with Satellite Images,"Develop an artificial Intelligence (AI) based system for Human Interaction with satellite images. -Knowing the presence of required content in a region through remote sensing images helps in resources monitoring, urban planning, and decision making. -Currently crowd sourcing platforms provide the thematic information, such as Open Street Map (OSM) which involves many volunteers in populating the maps. Also, the information acquired from crowd sourcing platforms is not up-to-date and not available across the globe. -This approach aims to extract the information present in an image using deep learning approaches. This system does not require the volunteers in collecting the thematic information. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS610,16,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Prediction of TEC variations with Artificial Intelligence using Space Weather Data as input,"The ionospheric electron density is sensitive to the space weather parameters like Sunspot numbers, F10.7, Interplanetary magnetic field etc. and shows variation with respect to them. These parameters are detected and measured at L1 point (currently by ESA / NASA satellites) and are transmitted to earth. So, the information about these parameters are available before they actually influence the terrestrial ionosphere. Importantly, all these data are freely available over internet. The abovementioned parameters affect the ionospheric TEC, which in turn shows abrupt variations and deviations from the nominal characteristics. Therefore, these unconventionalities, which are typically observed during solar and geomagnetic storms, are necessary to be identified. This is also important, because the performance of the GNSS system, which is currently driving millions of applications, are also affected by the ionospheric variabilities. So, prediction of the TEC provides a handle to take necessary actions to avoid or mitigate the resultant impairments arising out of the above facts. For the purpose, the time sequence of space-weather parameters, along with the local time, location, season, date etc. can be related to the same for the vertical TEC and a definitive relationship can be established using Artificial Intelligence (AI) methods, like neural networks or other deep learning algorithms. Once trained with known dataset, the AI based algorithm may be able to predict the expected TEC variations which can be used by the concerned users. The schematic for the approach may be as the following. The problem requires the development of the proper AI algorithm to use the available space weather and other data to predict the TEC variations at one particular location on the earth, preferably over the geomagnetic equator. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS612,10,Disaster Management
"Department of Space, Indian Space Research Organisation (ISRO).",High accuracy positioning on mobile or automotive NavIC/GNSS receivers for road lane navigation,"Realization of high accuracy navigation system using NavIC/GNSS and other augmentation systems (i.e. integrating optical cameras, INS, odometer, radars); which can provide decimeter level positioning and manage lane-level navigation. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS613,3,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Symbol Rate/Bandwidth Estimation,"To design and develop signal processing algorithm (Matlab/C based Code) for spectrum monitoring and Estimation of Symbol Rate / Bandwidth together with centre frequency of the modulated signal. The estimation is expected to achieve accuracy of order of Hz. The input may have multiple communication channels and bandwidth/symbol rate of each channel has to be estimated within specified bandwidth. A typical 10 MHz bandwidth may be considered for simulation. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS614,6,Miscellaneous
"Department of Space, Indian Space Research Organisation (ISRO).",Real-Time Adaptive Speech Mixing and Audio-video synchronization,"Content adaptive speech mixing and audio-video synchronization is a challenge task in building audio-video conference system for Gaganyaan Project. To achieve clear and distinguishable audio, the audio mixing should be done based on adaptive acoustic modeling. Characteristics of speech such as pitch, formant frequencies, and segmental durations related to specific age group or gender should be adapted. The sampled speech signal at 8 KHz (16 bit linear PCM) from multiple sources should be mixed with appropriate adaptive acoustic modeling to achieve the desired outcome sound quality. The mixing algorithm should address the problem of scaling, delay, echo, cabin noise etc. Another task includes that any individual speech ( from a selected input source) should be multiplexed along with H.264 compressed video (Max. bit rate 1Mbps) for generating a synchronized and fixed data rate output data stream. For datasets and additional information, please visit https://vedas.sac.gov.in/en/sih2022.html",Software,SS615,3,Miscellaneous
MathWorks,Traffic Light Negotiation and Perception-Based Detection,"Background: Navigating an intersection with traffic lights is a challenging but safety critical task for a self-driving car. Using perception to identify traffic light positions and states despite lighting conditions and occlusions is an interesting problem that a 3D simulation environment can safely and effectively provide a solution for. Automated Driving Toolbox™ provides a 3D simulation environment powered by Unreal Engine® from Epic Games® that can be used to visualize traffic lights and the motion of a vehicle in a 3D scene. Description: Use MATLAB® and Simulink® to load a pre-built Unreal scene, detect and identify the state of the traffic light nearest to the ego-vehicle, design a Stateflow® model to control traffic lights in the scene, and control the reaction of the ego-vehicle in accordance with the traffic lights and surrounding vehicles. The position and color state of the traffic light at an intersection can be obtained by using a combination of sensors and perception algorithms. Perception can be used to identify surrounding vehicles which can also be used to inform decisions. Identify distance between the traffic light nearest to the ego-vehicle and the ego-vehicle in a pre-built Unreal scene intersection. Identify the color of the traffic light using camera output and perception. Control the change of state of the traffic light using Stateflow. The ego-vehicle should react to the traffic light information. Build your own scenes with the following suggested requirements and perform a quantitative analysis of your algorithm: a. Traffic lights obstructed by trees b. Various types of traffic lights like hanging on a pole, multiple traffic lights in different orientations at an intersection c. Scenes with different weather conditions Work with Automated Driving Toolbox™ , Computer Vision Toolbox™ , Lidar Toolbox™ and Sensor Fusion and Tracking Toolbox™ https://www.mathworks.com/products/sensor-fusion-and-tracking.html for this project. Students can also take the opportunity of submitting the solution to the MathWorks Excellence in Innovation Projects and get recognized for their work. Deliverables Software (Models, Code, Simulation Data, 3D files) License: For students whose institutions/university already have access to MATLAB, SIMULINK and its toolboxes, please use of these licenses. To check if your campus has a MATLAB campus license? Check the following link For those whose institutions/university, do not have access to MATLAB, SIMULINK and its toolboxes. Please send a mail to ageethag@mathworks.com and we will provide you with the required license.",Software,AG676,45,Smart Vehicles
All India Council for Technical Education (AICTE).,AI based Chatbot to answer FAQs,"""Background: There have always been queries of people regarding various topics to which answers are provided manually by people. In order to make this process fast the FAQs can be answer using the latest AI technologies where answers can be automatically generated according to the questions. Also for every question asked it can be stored and the list of questions can be increased to provide better mapping of question and answers. This process can reduce lot of work pressure for both the consumer and the government. Also providing quick responses and suggestions can help in the better economical market growth. Summary: There have always been queries of people regarding various topics to which answers are provided manually by people. In order to make this process fast the FAQs can be answer using the latest AI technologies where answers can be automatically generated according to the questions. Objective: We need you to develop an AI based Chatbot (mobile/web app) to create answers to queries based on FAQs and more FAQs getting automatically added including categorization. You can use machine learning algorithms to increase the dataset of questions and answers and ensure that the mapping of questions and answers remain maintained every time there is an increase in the dataset.""",Software,DR702,125,Smart Automation
All India Council for Technical Education (AICTE).,Bulk email & SMS service,"""Background: Information sharing is a major factor for development in the country. It is a time taking process to share information to all the citizens of the country through media and newspaper. In this modern generation almost everyone has a mobile phone in their hand. We can use this opportunity to share information directly to them through SMS or email. This will save time and money and information can be shared with a larger community within short time duration. Also such service can be used to repeatedly send SMS in case of emergency situations. Summary: A bulk SMS or email service which can convey information to larger audience in short interval of time is a requirement. It can include alerts, warnings and news that are of high importance cam needs to be delivered to all the citizens of the country in a single go. Objective: We need a mobile/web app that will allow sending Bulk email & SMS (around 1 crore) user in one go through SMTP or other technology and it will be compatible for that all the users should get an notification also in their mobile through Artificial Intelligence. In addition features like log generation, notification of failure of SMS and/or email delivery, scheduling of SMS/emails, scheduler alert/notification system, users creation with different role and responsibilities, read & unread status, provision of importing contact details from excel worksheets, customizing emails with name of the receiver etc. should be included""",Software,DR703,56,Smart Education
All India Council for Technical Education (AICTE).,Energy Conservation with modern technology,"Background: The world’s natural resources are already depleting, and people are starting to feel the repercussions of a wasteful lifestyle. As such, energy conservation is vital in today’s world. Not only does it help households save money, but it also encourages consumers to be more conscious about preserving natural resources. IoT has made homes smarter, so its application in energy conservation is more accessible. Smart appliances can inform homeowners of real-time consumption so that they can monitor their energy usage. Reports can easily be generated or extracted, allowing homeowners to monitor their daily, weekly, and monthly energy consumption accurately. In addition, sensors can be installed so that when owners leave the house, appliances will automatically turn off to conserve energy. Summary: In order to conserve energy we need to keep a check on all the type of resources that are being used in our day to day life. With IoT it becomes easy to track the resources we are using and we can monitor and keep a check on. Reports generated from such monitoring system can help in conserving natural resources and reduce unnecessary wastage if any. Objective: : We would like you to develop a mobile/web app system using IoT to make energy conservation easy. Also provide reports on usage of all the resources in day to day life and smart automation methods to reduce the amounts of any resource we use.",Software,DR704,86,Renewable / Sustainable Energy
All India Council for Technical Education (AICTE).,Graphical Password Authentication,"Background: Passwords are ubiquitous today on any platform, on possibly any website. But to remember so difficult passwords and that too on numerous websites seems daunting and therefore you can devise a project illustrating graphical password strategy. This will allow the user to set passwords in the form of graphical presentation in a certain pattern and later use that pattern to login o the system. Summary: Remembering numerous passwords from various different sites can be difficult for a user. So to provide some flexibility we can provide users a graphical password authentication system where instead of creating a password a user has to select graphical objects in a particular order to keep it as their password. Objective: : In this method, the user is required to select some images (let’s say different chocolates) in a specific pattern (for example dairy milk is followed by 5 stars which is in turn followed by KitKat and so on). Next time the user tries to log in, the images would have been shuffled, but the user will be required to follow the same pattern which was used initially. Every time the user will have to use the same sequence while the images are placed in different ways. This type of authentication is difficult to break since neither brute force nor dictionary attacks could breach it. We need techniques that can be easily implemented and provide better results to this process.",Software,DR705,125,Blockchain & Cybersecurity
All India Council for Technical Education (AICTE).,Network Traffic Analyzer,"""Background: Also called “Packet Sniffing”, network traffic analysis and monitoring is a process used to keep an eye on all incoming and outgoing traffic, network activity, and availability. It is used to detect anomalies, identifying operational issues, comparing real-time networks with historical data to identify potential threats and issues. For a project, you can analyze the data packets that are sent across the network. After analyzing these packets you can work on a report to give your insights, and if required, countermeasures if there is an anomaly. Summary: Also called “Packet Sniffing”, network traffic analysis and monitoring is a process used to keep an eye on all incoming and outgoing traffic, network activity, and availability. It is used to detect anomalies, identifying operational issues, comparing real-time networks with historical data to identify potential threats and issues. For a project, you can analyze the data packets that are sent across the network. After analyzing these packets you can work on a report to give your insights, and if required, countermeasures if there is an anomaly. Objective: : We need a software in which using your networking skills you can find out such anomalies in the network also as an extension, you could also devise software that could identify if there is a traffic analyzer in the network by an external agent.""",Software,DR706,56,Blockchain & Cybersecurity
All India Council for Technical Education (AICTE).,Software for easing government procurements,"""Background: Government purchases various components through tender which takes a lot of time as the process of allocation of tender takes more than 2 months. Often it is observed after allocation of tender the fulfillment of the required tender takes more than required time. From tender allocation to tender completion it takes more than 6 months to complete all the process as government itself have to compare all the required items. Summary: Government purchases various components through tender which takes a lot of time as the process of allocation of tender takes more than 2 months. Often it is observed after allocation of tender the fulfillment of the required tender takes more than required time. From tender allocation to tender completion it takes more than 6 months to complete all the process as government itself have to compare all the required items. Addressing this issue will help the government in having transparency and parity in rates of items procured by different Govt organizations and the entire process of tender allocation will take very less time then what is taking now. Objective: : There is a requirement of software(Mobile/Web App) for Govt procurements which lists various items with specifications, rates, warranty and compare them and decide the best option., like one available for car insurance etc. This may avoid calling tenders, deciding L1 etc. This may also brought, transparency and parity in rates of items procured by different Govt organisations.""",Software,DR707,37,Smart Automation
All India Council for Technical Education (AICTE).,AI based tool to get information about 5 good institutes based on AISHE,"""Background: India as we know is a densely populated country and Every year more than 6 crores of Indians graduates from diverse backgrounds and with diversity in education. Almost similar number of students enter into colleges for taking various education to help them in seeking jobs. With the advent of time technology and the requirement of job sector has changed drastically as compared to 10 years back.Many sectors have experienced tremendous growth in employment and thus masses opt for those sectors whereas in many sectors there is huge unemployment either due to low jobs availability or demand of skilled workers is required. Thinking of the each and every branch and when comparing it with the current employment in India and abroad, we will definitely find some points that will help in predicting the admissions and jobs scenarios in the fields of engineering and technology, management and pharmacy. Summary: Due to the changing technology and its requirement for getting employed in India and abroad, there has to improvements suggested by experts for predicting the Prediction of Admission & Jobs in Engineering & Technology /Management/Pharmacy. This is not a one time process and needs to be done frequently as trends in the industry keep changing. Addressing this problem will help in knowing the top good institutes and also will give the details on how the institute was able to sustain a good position. This will help in development of all other institutions and better growing opportunities will be opening. Objective: : We need you to develop a portal where information of 5 good institutes based on AISHE data like faculty student ratio, infrastructure (Laboratory and Hostel facility), research facilities at institutes etc will be shown up. And this data should change according to the latest AISHE data. Always maintain the portal with the real time data from AISHE.""",Software,DR708,33,Smart Education
All India Council for Technical Education (AICTE).,"AICTE Event/Activity (Workshops, Talks, FDP, Meeting etc) management system.","""Background: Currently in AICTE Event/Activity Management happens manually. Such examples of activities that happen manually are Booking of meeting room/auditorium, communication to all the bureaus/members regarding meetings through email and SMS alerts, intimate canteen for refreshment/Lunch/dinner arrangements, update the information on AICTE social media like Facebook & Twitter page, Report generation, activity log checking etc. This manual process generally takes a lot of time to implement and can cause delay to the actual work. With the fast growing network of AICTE, it needs to automate its process to provide ease to manual work. This can highly increase in economic growth of AICTE and manage all events very smoothly with all information to have directed to one single portal. Summary: Due to manually management of Events AICTE faces a lot of challenges where they lose a lot of time to gather all the events together. Create a common portal for all AICTE Event/Activity management would ease you their work and make the work process robust and flexible. This will ensure AICTE to have all events under one umbrella from where the management would be easy and confortable. Objective: : We need you to create a portal where using this system organizing Bureau/cell will initiate the event by deciding on the following point: • List of various committees (including members) • List of involved Bureaus or cells • Role and responsibilities of all concerned members and committees. Required features in the portal would be as follows • Booking of meeting room/auditorium • Communication to all the bureaus/members regarding meetings through email and SMS alerts • A separate interface to intimate canteen for refreshment/Lunch/dinner arrangements • An interface of this system to update the information on AICTE social media like Facebook & Twitter page. • Report Generation • Activity Log • Dashboard • Any other relevant features""",Software,DR709,54,Smart Education
All India Council for Technical Education (AICTE).,Career dendrogram,"Background: In order to realise the goal of demographic divide, every citizen of the country needs to be educated for job, be it a scientist, a doctor, engineer or whatever to meet not only the needs of our society but also the other societies elsewhere in the world. Every student aspires to become a great person and self reliant, but their passion and likings are diverse. In order to cater to the aspirations of the students and facilitate them to aim it high, they are required to be informed about the number and type of jobs this country has in the future years, as also the number of business persons, entrepreneurs, workforce in all areas of employment. A national database of actual requirement of workforce, category-wise by both Government and Industry, the type of educational or skill qualification required, nature of job, eligibility criteria, salary and perks, career development /progression in every field / sector of employment is urgently required. As each individual nurtures different desires to become in their life, there is a need for career dendrogram, so that one can put forth a concerted efforts to become the best in his vocation and excel in life rather than make umpteen number of mistakes of wrong selection of course of education or career and repent later and go on trying different things losing his precious time/life. Summary: A national database of actual requirement of workforce, category-wise by both Government and Industry, the type of educational or skill qualification required, nature of job, eligibility criteria, salary and perks, career development /progression in every field / sector of employment is urgently required. As each individual nurtures different desires to become in their life, there is a need for career dendrogram, so that one can put forth a concerted efforts to become the best in his vocation and excel in life rather than make umpteen number of mistakes of wrong selection of course of education or career and repent later and go on trying different things losing his precious time/life. Objective: : We need you to develop a portal where we can use the national database to track the development of individuals. According to their performance in their workplace, their hobbies and extra curricular activities the portal should suggest them their career goals. This can be what they are best in and according to that what is the best career they can choose for themselves. This can reduce in making mistakes in selecting career.",Software,DR710,61,Smart Education
All India Council for Technical Education (AICTE).,Lack of information about Academic Activities in single platform,"""Background: Teachers, students are encouraged to take up research and innovate. Current accreditation, ranking and grading norms emphasizes research work and publications by both students and faculty. In order to take up research work and subsequently make publications of research findings, to collaborate and network with others who are working on similar problems there is a need to participate in global, national and local workshops, seminars, symposia, conferences, etc. Students have to search for information about dates, places and themes of such academic confluences. Lot of time and efforts are wasted in this regard and despite that they may miss out vital information and chance to make presentations. Availability of single portal will be extremely useful for obtaining the information about all academic activities across the country, universities and international arena in chronological order and in subject areas so as to enable the students, faculty, and researchers to access information and prepare well in advance and participate effectively and successfully. Summary: Students have to search for information about dates, places and themes of such academic confluences. Lot of time and efforts are wasted in this regard and despite that they may miss out vital information and chance to make presentations. Addressing this problem will be extremely useful for obtaining the information about all academic activities across the country, universities and international arena in chronological order and in subject areas so as to enable the students, faculty, and researchers to access information and prepare well in advance and participate effectively and successfully. Objective: : We need you to develop a portal where information about all academic activities across the country, universities and international arena in chronological order and in subject areas so as to enable the students, faculty, and researchers to access information and prepare well in advance and participate effectively and successfully.""",Software,DR711,94,Smart Education
All India Council for Technical Education (AICTE).,Lack of sustainability in appointment of Faculty in Higher Educational Institutions and Colleges,"""Background: Retirement of faculties and appointment of faculties in colleges is not standardised in our country. While retirements are mandatory on superannuation, steps to fill up the vacancy that arises immediately is lacking. When a vacancy arises in the middle of the academic year on account of the superannuation of a faculty, the students are the victims. There should be state or National registry or databank to assess the actual faculty requirement college-wise keeping in view the date of retirement and number of teachers who retire, so that recruitment process can start well in advance and the faculty is readily available as soon as a faculty retires. Standard of education in India cannot be improved unless we fill all the vacancies every year selecting suitable candidates. Summary: Faculty’s appointment in colleges tend to be slow in our country when there is an immediate need of faculty. This happens because in so short notice it is impossible to get a faculty for the college. This problem makes the students victim where they lack behind in their academics. Addressing this problem can help in appointing faculties in a very roburst process. Objective: : We need you to create an app which will indicate the future vacancies and positions so that proper planning of recruitment is possible. All the data of faculties who are retiring or leaving the institute should be updated in the app and simultaneously find out faculties for that position who are ready to join. This would help to decrease in manually searching for faculties and automatically find and contact the faculties who are interested to join.""",Software,DR712,52,Smart Education
All India Council for Technical Education (AICTE).,Portal to know about various National and International scholarships,"""Background: India as we know is a densely populated country and every year more than 6 crores of Indians graduates from diverse backgrounds and with diversity in education. Almost similar number of students enter into colleges for taking various education to help them in seeking jobs. With time students also look for good scholarships based on the merit, skills, income, etc. Getting scholarships would help such students to even excel more. Summary: With growing technology and market scholarships in the market is also increasing but is the data is not confined to one place. People have to find various places to check for good scholarships. Addressing this problem will help in knowing various national and international scholarships. ALos it will encourage students to increase their merit to get such scholarships for better future. Objective: : We need you to develop a portal where various National and International scholarships based on merit, study field, income etc. are shown up. This should be a real time data management which should be updated with the latest scholarships that are being offered.""",Software,DR713,125,Smart Education
