Job_Role,Company,Location,Job Experience,Skills/Description
Research Data Scientist,Mavenir,Bangalore/Bengaluru,4-9,"Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL"
Freshers For Junior Data Scientist,Aaum Research and Analytics Private Limited,Chennai,0-1,"Statistical Modeling, R Program"
Lead - Data Scientist,Applied Materials,Bangalore/Bengaluru,10-15,"data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau"
Data Scientist / Analyst,Deutsche Bank,Bangalore/Bengaluru,2-6,"Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services"
Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad/Secunderabad,3-8,"Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python"
Data Scientist,Vasta Bio-informatics Pvt ltd,"Thane, Panvel, Navi Mumbai",4-9,"python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying"
Assistant Manager/Manager/Senior Manager - Data Scientist,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,"R, SAS, Data Scientist, analytics, analytical skills, Machine Learning"
Senior Data Scientist,AVTAR Career Creators,Chennai,4-6,"Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL"
Job Opportunity || Data Scientist || HCL Technologies,HCL Technologies,Delhi / NCR,2-7,"machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN"
Clinical Data Management Scientist,Accenture,Bangalore/Bengaluru,5-8,"SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming"
Data Scientist: Advanced Analytics,IBM,Kolkata,2-5,"Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics"
Data Scientist - KONE India Pvt. LTD,KONE,Pune,4-6,"python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization"
Data Scientist,Ericsson,Noida,5-8,"Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence"
Data Scientist - Leading Analytics Product Company in Mumbai,Maestro Headhunters LLP,Mumbai,3-8,"Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C"
Data Scientist - R/Python,TRH Consultancy Services,Greater Noida,5-10,"Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL"
Data Scientist - Machine Learning,Axcess Consultancy Services,Hyderabad/Secunderabad,5-10,"Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm"
Sr. Data Scientist,Invesco,Hyderabad/Secunderabad,5-10,"analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM"
Sr. Data Scientist,Accumed Practice Management DMCC,Chennai,6-8,"Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing"
Senior Data Scientist,ContractPodAi,Mumbai,5-9,"Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling"
Digital-Senior Process Manager- Data Scientist SPM,eClerx,Pune,8-13,"data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management"
Senior Data Scientist,ICERTIS Solutions,Pune,10-12,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing"
Sr Data Scientist,Oportun Inc,Chennai,5-9,"Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services"
Data Scientist,PayPal,Chennai,3-8,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining"
Data Scientist/ Analyst Specialist,TransOrg Solutions Services (P) Ltd.,"Noida, New Delhi, Gurgaon/Gurugram, Delhi / NCR, Mumbai (All Areas)",1-4,"Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis"
Data Scientist (freelance),2Coms,"Bangalore/Bengaluru, Bangalore North",3-8,Data Scientist
Data Scientist,M/S NILE,Bangalore/Bengaluru,4-8,"Java, python, NLP, MySQL, Machine Learning, Deep Learning"
Data Scientist,ZOLVE INNOVATIONS PRIVATE LIMITED,Bangalore/Bengaluru(Bellandur),2-5,"Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning"
Rolls-Royce Data Labs : Data Scientist,Rolls Royce,Bangalore/Bengaluru,3-5,"Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python"
Data Scientist,Applied Materials,Bangalore/Bengaluru,7-10,"data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas"
Staff Data Scientist,Walmart,Bangalore/Bengaluru,4-8,"Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL"
Data Scientist,VISA,Bangalore/Bengaluru,3-7,"Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,10-12,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,6-11,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence"
Staff Data Scientist,Walmart,Bangalore/Bengaluru,4-8,"IT Skills, Data Science, Machine Learning, Big Data, Text mining, Computer vision, Publishing, Web analytics"
Data Scientist,CRED,Bangalore/Bengaluru,1-5,"Health insurance, Data analysis, Statistical modeling, data science, Machine learning, SCALA, Programming, Information retrieval"
Data Scientist / Machine learning Engineer- Python/NLP,Leading US MNC into Analytics,"Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR",2-7,"machine learning, IT Skills, Data Science, python, nlp"
Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),BLEND360 INDIA PRIVATE LIMITED,Hyderabad/Secunderabad,3-8,"Data Scientist, Market Mix Modelling, IT Skills, Python, Data Science, Cloud, AWS, Digital Marketing"
Data Scientist-Client Engineering,IBM,Mumbai,5-10,"Consulting, Machine learning, Healthcare, Presales, Python, Automation, data science, Analytical"
Sr. Data Scientist,HUDSON'S BAY SERVICES PRIVATE LIMITED,Bangalore/Bengaluru,4-9,"python, machine learning, Artificial Intelligence"
Sr Data Scientist,Target,Bangalore/Bengaluru,4-9,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL"
Senior Data Scientist -Python+ML(5-7 years),Knowledge Foundry Business Solutions Pvt. Ltd.,Bangalore/Bengaluru,5-7,"python, Web Framework, Machine Learning, tensorflow, Django, Neural Networks, flask, artificial intelligence"
Hiring Senior Data Scientist - AI ( Remote) || Hanu,Hanu Software Solutions,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",13-20,"Data Science, Artificial Intelligence, azure, IT Skills, Python, Machine Learning, Cloud, Big Data"
Senior Data Scientist,Course5,"Bangalore/Bengaluru, Mumbai (All Areas)",5-9,"statistics, Supply chain, gcp, aws"
Data Scientist Opportunity with PayU - Diversity Hiring,PayU,"Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",2-7,"python, Django, pytorch, Text Mining, Predictive Analytics, Pattern Recognition, Natural Language Processing, Data Mining"
Data Scientist 1,PayPal,Bangalore/Bengaluru,4-8,"Data analysis, Sales operations, Consulting, Machine learning, Data mining, Operations, Analytics, Financial services"
Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,3-7,"IVR, Enterprise applications, Open source, LEX, Python, AWS services, Dynamo DB, analytical"
Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,3-7,"Interpersonal skills, Javascript, Open source, LEX, Python, advanced analytics, Architecture, Investigation"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Enterprise applications, Open source, AWS, Analytics, LEX, IT Skills, Automation testing, Artificial Intelligence"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"IVR, Enterprise applications, Artificial Intelligence, Open source, Python, IT Skills, Java, AWS"
Data Scientist,Ashkom Media India Private Limited,"Noida, Bangalore/Bengaluru",3-6,"cloud, Hive, python, Hadoop, Big Data"
Associate Data Scientist,IDFC FIRST Bank,"Mumbai, Pune, Bangalore/Bengaluru, Mumbai",3-7,"Economics, stats Graduate, Data scientist, Machine Learning Eng"
Digital-Associate Process Manager - Data Scientist APM,eClerx,Pune,4-6,"Data Scientist, IT Skills, Project Management, BPO, project management, auditing, travel, story telling"
Data Scientist,Master Mind Consultancy,"Mumbai, Bangalore/Bengaluru",10-15,"data science, Azure, NLP, Algorithms, Data Scientist, Cloud, AWS, Python"
Data Scientist,cliqhr.com,Bangalore/Bengaluru,5-8,"data mining, -, R, Tableau, communication, SQL, C++, Python"
Data Scientist,Hucon Solutions,Bangalore/Bengaluru,8-13,"Data Analysis, analytics, Data modeling, IT Skills, Machine Learning, Tableau analytics, R, SQL"
Data Scientist,cliqhr.com,Bangalore/Bengaluru,5-10,"SQL, Analytical, Python, Tableau, communication, data mining, Hadoop, R"
Lead Data Scientist,Target,Bangalore/Bengaluru,7-12,"Supply chain, Computer science, Data analysis, Simulation, Machine learning, Open source, Data mining, SQL"
Lead Data Scientist,TransOrg Solutions Services (P) Ltd.,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9,"R, Python, SQL, Data Science, Data Manipulation, Artificial Intelligence, Linear Regression, Machine Learning"
Data Scientist,PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,Hyderabad/Secunderabad,2-6,"python, IT Skills, Testing, Data Science, Cloud, AWS, Azure, Pytorch"
Junior Data Scientist,Snaphunt,Gurgaon/Gurugram,2-5,"data analysis, data mining, artificial neural networks, python, r, predictive modeling, segmentation, machine learning"
Junior Data Scientist,EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,Noida,1-2,"Data Science, Hypothesis testing, Text mining, PowerBI, R, Tableau, GLM Algorithms, SQL"
Assistant Manager/Manager/Senior Manager - Data Scientist,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,"Machine Learning, Data Science, SAS, Data Scientist, Statistics, Analytics, SQL"
Data Scientist (freelance),2Coms,"Mumbai, Mumbai",3-8,"IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist"
Data Scientist,AutomationEdge,Pune,4-8,"Training, deep learning, Backend, Linux, Artificial Intelligence, Machine learning, Transformers, Deployment"
Data Scientist,Liases Foras Real Estate Rating and Research Private Limited,Mumbai Suburban,5-10,"python, sql, Hadoop Administration, Hive, Periscope, Spark, Machine Learning"
Data Scientist II,Groupon,Bangalore/Bengaluru,3-6,"AWS services, Data Science, NLP, Neural Networks, Data Analysis, Data Mining, Machine Learning, Deep Learning"
Python Developer(Data Scientist),ICAV Tech Pvt. Ltd.,Remote,2-7,"Java, R, Python, IT Skills, Software Development, Testing, Quality Assurance, Javascript"
Data Scientist,Liquiloans,Mumbai,2-3,"Data Scientist, Data Science, Scipy, Pandas, Scikit-learn, Numpy, programming, implementation skills"
Data Scientist,TotalAI Systems India LLP,Remote,4-7,"algorithms, Natural Language Processing, Deep Learning, IT Skills, Java, Python, Data Science, Tableau"
Mid Level Data Scientist,IBM,Ahmedabad,5-8,"data science, Machine learning, Cloud, Open source, Python, IT Skills, Software Development, Testing"
Data Scientist,IBM,Kochi/Cochin,4-8,"Software design, Machine learning, Open source, SQL, Python, Analytical skills, Analytical, Artificial Intelligence"
Data Scientist - Experienced/fresher | Kolkata,SIBIA Analytics and Consulting Services Pvt Ltd,Kolkata,0-4,"Logistic Regression, MySQL, Natural Language Processing, Time Series, Python, sql, SQL queries, machine learning"
Data Scientist,Amdocs,Pune,4-8,"deep learning, python, data science, machine learning, SQL, Communication Skills, artificial intelligence"
Service Delivery _ OSS _ Data Scientist,Ericsson Global Services,Kolkata,4-8,"Bidding, Data management, PHP, Google AdWords, HTML, microsoft, Data mining, Statistics"
Urgent Opening For Senior Data Scientist Role (Pune),Peoplefy Infosolutions Pvt. Ltd.,Pune(Kharadi),6-11,"Data Science, Artificial Intelligence, Machine Learning, IT Skills, Python, Predictive Modeling, Natural Language Processing"
Senior Data Scientist,Ocrolus East,Gurgaon/Gurugram,4-8,"Computer science, Automation, github, data science, Machine learning, Venture capital, Programming, Analytics"
Sr . Data Scientist / Data Scientist,fountain9,Mumbai,2-7,"IT Skills, Machine Learning, SAN, Statistical analysis, French, big data analytics, OOPS, Data structures"
Sr NLP & Text Mining Data Scientist,Evolent Health,Pune,2-6,"Business Intelligence, IT Skills, Python, Testing, Credentialing, Medicare, Feedback, US Healthcare"
"Data Scientist/ Machine Learning, 2022 Passout Can also apply",Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Vadodara",0-4,"python, Machine Learning, Data Scientist, IT Skills, PHP, Artificial Intelligence, software testing, freshers"
Senior Data Scientist,techcarrot FZ LLC,Hyderabad/Secunderabad,7-12,"IT Skills, Python, Data Science, Machine Learning, Cloud, DevOps, Azure, SAN"
Senior Data Scientist,Tridiagonal Solutions Pvt. Ltd.,Pune,3-8,"Relationship management, Mining, Computer science, Data management, Pharma, Consulting, Workflow, Data quality"
Data Scientist 1,PayPal,Chennai,4-8,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining"
Data Scientist,Muthoot Microfin,"Kochi/Cochin, Ernakulam",3-8,"Predictive Modeling, Business Intelligence, Power Bi, Business Analytics, SAS, Qlik Sense, Scripting Languages, Data Mining"
Data Scientist (Risk / Fraud Experience is must),PayU Payments,Gurgaon/Gurugram,2-5,"Pyspark, Fraud Modelling, Risk, Data Scientist, Python, SAS, predictive analytics, Big Data"
"Specialist, Data Scientist",BNY Mellon,Pune,6-8,"Training, advanced analytics, data science, Programming, Representative, Management, Financial services, Analytics"
"Data Scientist, Enablement",Salesforce,Hyderabad/Secunderabad,4-8,"Data analysis, Production engineering, Machine learning, Salesforce.com, Open source, Analytics, SQL, Python"
"Data Scientist, Product Analytics",PayPal,Chennai,5-9,"Computer science, Product engineering, data science, Project management, Consulting, Machine learning, Engineering Design, Financial services"
Data Scientist,PayPal,Chennai,4-8,"remediation, Data analysis, Project management, Analytical, Back office, linear regression, Analytics, Financial services"
Data Scientist 1,PayPal,Chennai,4-8,"Computer science, Statistical programming, Data modeling, Analytical, Machine learning, QlikView, Business intelligence, Financial services"
Data Scientist,Impetus,Gurgaon/Gurugram,2-6,"Natural Language, Hive, NLP, Vision, Hyperparameter tuning, Data Wrangling, Machine learning, TensorFlow"
Sr. Associate - Data scientist -Affine.Ai,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru",2-4,"Logistic Regression, R programming, Python, Machine Learning, Statistical Modeling, analytical, advanced statistics, SQL"
Sr. Associate - Data scientist -Affine.Ai,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru",2-4,"advanced statistics, Python, analytical, Statistical Modeling, R programming, Machine Learning, Logistic Regression, IT Skills"
Junior Data Scientist,KWALEE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,1-6,"Data Science, Tensorflow, NoSQL, Data Management, Statistical Modeling, Data Analysis, Machine Learning, Deep Learning"
Manager - Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,4-9,"data analytics, Data Scientist, Machine Learning, Data analysis, python, SAS, data engineering, SQL"
Need immediate joiners - Data Scientist,Hucon Solutions,Kolkata,8-11,"data scientist, Data modeling, analytics, IT Skills, Cloud, R, Tableau, machine learning"
Lead Data Scientist - CPG/BFSI/Healthcare Domain,TalentCo Search Pvt Ltd,Pune,8-12,"end-to-end, EDA, visualizations, insights, monitoring, modelling, problem scoping, R"
Data Scientist - Machine Learning,Career Infosystem,Noida,1-5,"Machine Learning, Predictive modeling, MongoDB, Spark, Python, Deep Learning stack, NLP, Hadoop"
Data Analyst/data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,5-7,"software development, Data Mining, Machine Learning, Java, C#, Hadoop, communication, C++"
Data Analyst / Data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,5-7,"C#, Java, architecting, C++, software development, Data Scientist, Hadoop, Data Analysis"
Data Analyst/ Data Scientist - C++/c#/java,Confidential,Hyderabad/Secunderabad,5-7,"Java, software development, Machine Learning, C++, Hadoop, Data Mining, communication, algorithms"
Senior AI Scientist - SAP Procurement Data Science Team,SAP India Pvt.Ltd,Bangalore/Bengaluru,4-9,"Python, IT Skills, Java, Data Science, Machine Learning, Cloud, SAP, Procurement"
Data Scientist,ALOIS TECHNOLOGIES LLP,"Pune, Bangalore/Bengaluru",4-9,"computer vision, Machine Learning, Deep Learning, PowerPoint, VoTT, Git, CUDA, Keras"
Data Scientist - Internet Jobs - II,Jobs Territory,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3-6,"Data Science, Data Analysis, NLP, Neural Networks, Data Mining, Machine Learning, AWS, Deep Learning"
Data Scientist,Randstad India Private Limited,Bangalore/Bengaluru,1-5,"Data science, Tableau, Python, SQL, Data scientist, Data Visualization"
Data Scientist,TAMCHERRY TECHNOLOGIES PRIVATE LIMITED,"Kochi/Cochin, Bangalore/Bengaluru",2-5,"Big Data, Machine Learning, Python, IT Skills, Data Science, Cloud, AWS, Azure"
Data Scientist,Aurigo Software Technologies Pvt Ltd,Bangalore/Bengaluru,4-6,"Data Science, Natural Language Processing, Big Data, Python, IT Skills, Cassandra, Kafka, MongoDB"
Data Scientist,Aidetic Software Pvt Ltd,Bangalore/Bengaluru,1-5,"Data Science, Python, Opencv, Scipy, NLTK, Numpy, Tensorflow, Pytorch"
Jr. Data Scientist,TEOCO Software,Bangalore/Bengaluru,1-5,"R, Alteryx, Statistics, SQL, Python"
Senior Data Scientist,TrueView HR Consulting Pvt. Ltd,"Pune, Bangalore/Bengaluru",6-8,"Data Science, IT Skills, Python, Testing, Machine Learning, Cloud, AWS, Tableau"
Senior Data Scientist - Global Product Organisation.,Spencer N Hills Consulting Pvt Ltd,Bangalore/Bengaluru,10-18,"advanced analytics, data science, machine learning, Python"
Data Scientist,2Coms,"Bangalore/Bengaluru, Bangalore North",6-11,"Tensorflow, Python, Caffe, MxNET, Keras, written communication, PyTorch, Agile"
Data Scientist,TEKISHUB CONSULTING SERVICES PRIVATE LIMITED,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",6-9,"Azure Machine Learning, Pandas, KNN, Regression, Azure ML, Matplotlib, Data science, Machine Learning"
Data Scientist,CARDINAL HEALTH INTERNATIONAL INDIA PRIVATE LIMITE,Bangalore/Bengaluru,5-8,"Data Scientist, Machine Learning, Python"
Data Scientist,Encora,Bangalore/Bengaluru,5-7,"Python, Neural Networks, Regression Analysis, Pytorch, R, Scikit, Bayesian Networks, K - means"
Data Scientist | Zipcar,TALENT500 TECH (INDIA) PRIVATE LIMITED,Bangalore/Bengaluru,3-6,Machine Learning
Data Scientist,Contactx India,Bangalore/Bengaluru,5-8,"AWS, Lambda, Cloud formation, ETL, R Programming, Python, API Gateway, Azure DevOps"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Computer science, Enterprise applications, Open source, Analytics, SQL, Computer languages, Simulation, Debugging"
Data Scientist,IBM,Bangalore/Bengaluru,8-12,"Unix, VMware, Networking, Virtualization, SQL, IT Skills, Python, Machine Learning"
